ZEIT_LANG  ,ZEIT_CODE ,RAUM_LANG                                                     ,RAUM_CODE ,BEW     ,Datenstatus
1958-12-31 ,Z31121958 ,alter Kreis 11 (1934-1969)                                    ,R01600    ,82167.0 ,Definitiv
1987-12-31 ,Z31121987 ,Kreis 3 (ab 1915)                                             ,R00600    ,43671.0 ,Definitiv
2000-12-31 ,Z31122000 ,Kreis 6 (ab 1934)                                             ,R01200    ,29797.0 ,Definitiv
1980-12-31 ,Z31121980 ,Kreis 5 (ab 1915)                                             ,R00800    ,11077.0 ,Definitiv
1992-12-31 ,Z31121992 ,Kreis 2 (ab 1893)                                             ,R00200    ,28531.0 ,Definitiv
1900-12-31 ,Z31121900 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,25966.0 ,Definitiv
1974-12-31 ,Z31121974 ,Kreis 7 (ab 1934)                                             ,R01300    ,38045.0 ,Definitiv
1930-12-31 ,Z31121930 ,Kreis 3 (ab 1915)                                             ,R00600    ,37336.0 ,Definitiv
1917-12-31 ,Z31121917 ,Kreis 2 (ab 1893)                                             ,R00200    ,17735.0 ,Definitiv
1955-12-31 ,Z31121955 ,Kreis 3 (ab 1915)                                             ,R00600    ,55950.0 ,Definitiv
1985-12-31 ,Z31121985 ,Kreis 10 (ab 1934)                                            ,R01500    ,34717.0 ,Definitiv
